id,service_id,vehicle_type_id,cost,employer_salary,percentage_for_washer
1,1,1,1000,1,30
2,1,2,1200,1,30
3,1,3,1500,1,30
4,1,4,1600,1,30
5,1,5,1400,1,30
6,1,6,1400,1,30
7,1,7,2000,1,30
8,1,8,2000,1,30
9,1,9,1800,1,30
10,1,10,2000,1,30
11,1,11,1000,1,30
12,1,12,1400,1,30
13,1,13,1500,1,30
14,1,14,1800,1,30
15,1,15,500,1,30
16,1,16,600,1,30
17,1,17,700,1,30
18,1,18,900,1,30
19,1,19,1200,1,30
20,1,20,900,1,30
21,1,21,1200,1,30
22,1,22,1800,1,30
23,1,23,2000,1,30
24,1,24,800,1,30
25,1,25,1000,1,30
26,1,26,1300,1,30
27,1,27,800,1,30
28,1,28,1000,1,30
29,1,29,1300,1,30
30,1,30,600,1,30
31,1,31,800,1,30
32,1,32,1000,1,30
33,1,33,1500,1,30
34,1,34,1000,1,30
35,1,35,1200,1,30
36,1,36,2000,1,30
37,1,37,1500,1,30
38,1,38,1000,1,30
39,1,39,800,1,30
40,1,40,600,1,30
51,1,47,300,1,30
52,2,1,600,1,30
53,2,2,600,1,30
54,2,3,600,1,30
55,2,4,600,1,30
56,2,5,600,1,30
57,2,6,600,1,30
58,2,7,600,1,30
59,2,8,600,1,30
60,2,9,600,1,30
61,2,10,600,1,30
62,2,11,600,1,30
63,2,12,600,1,30
64,2,13,600,1,30
65,2,14,600,1,30
66,2,15,600,1,30
67,2,16,600,1,30
68,2,17,600,1,30
69,2,18,600,1,30
70,2,19,600,1,30
71,2,20,600,1,30
72,2,21,600,1,30
73,2,22,600,1,30
74,2,23,600,1,30
75,2,24,600,1,30
76,2,25,600,1,30
77,2,26,600,1,30
78,2,27,600,1,30
79,2,28,600,1,30
80,2,29,600,1,30
81,2,34,600,1,30
82,2,35,600,1,30
83,2,36,600,1,30
84,2,37,600,1,30
85,2,38,600,1,30
86,2,39,600,1,30
87,2,40,600,1,30
88,3,1,400,1,30
89,3,2,400,1,30
90,3,3,400,1,30
91,3,4,400,1,30
92,3,5,400,1,30
93,3,6,400,1,30
94,3,7,400,1,30
95,3,8,400,1,30
96,3,9,400,1,30
97,3,10,400,1,30
98,3,11,400,1,30
99,3,12,400,1,30
100,3,13,400,1,30
101,3,14,400,1,30
102,3,15,400,1,30
103,3,16,400,1,30
104,3,17,400,1,30
105,3,18,400,1,30
106,3,19,400,1,30
107,3,20,400,1,30
108,3,21,400,1,30
109,3,22,400,1,30
110,3,23,400,1,30
111,3,24,400,1,30
112,3,25,400,1,30
113,3,26,400,1,30
114,3,27,400,1,30
115,3,28,400,1,30
116,3,29,400,1,30
117,3,34,400,1,30
118,3,35,400,1,30
119,3,36,400,1,30
120,3,37,400,1,30
121,3,38,400,1,30
122,3,39,400,1,30
123,3,40,400,1,30
124,4,1,500,1,30
125,4,2,500,1,30
126,4,3,600,1,30
127,4,4,600,1,30
128,4,5,600,1,30
129,4,6,600,1,30
130,4,7,600,1,30
131,4,8,600,1,30
132,4,9,600,1,30
133,4,10,600,1,30
134,4,11,600,1,30
135,4,12,600,1,30
136,4,13,600,1,30
137,4,14,600,1,30
138,4,15,500,1,30
139,4,16,500,1,30
140,4,17,500,1,30
141,4,18,500,1,30
142,4,19,500,1,30
143,4,20,500,1,30
144,4,21,500,1,30
145,4,22,500,1,30
146,4,23,500,1,30
147,4,24,500,1,30
148,4,25,500,1,30
149,4,26,500,1,30
150,4,27,500,1,30
151,4,28,500,1,30
152,4,29,500,1,30
153,4,34,500,1,30
154,4,35,500,1,30
155,4,36,500,1,30
156,4,37,500,1,30
157,4,38,500,1,30
158,4,39,500,1,30
159,4,40,500,1,30
160,5,41,1000,1,30
161,5,43,1200,1,30
162,6,41,1000,1,30
163,6,43,1200,1,30
164,7,41,1300,1,30
165,7,43,1500,1,30
166,5,42,1000,1,30
167,5,44,1200,1,30
168,6,42,1000,1,30
169,6,44,1200,1,30
170,7,41,1300,1,30
171,7,42,1300,1,30
172,7,43,1500,1,30
173,7,44,1500,1,30
174,5,45,600,1,30
175,5,46,1000,1,30
176,6,45,600,1,30
177,6,46,1000,1,30
